ID,Category,Source,MLG,Phmi01A,Phmi01B,Phmi02A,Phmi02B,Phmi03A,Phmi03B,Phmi05A,Phmi05B,Phmi07A,Phmi07B,Phmi08A,Phmi08B,Phmi09A,Phmi09B,Phmi10A,Phmi10B,Phmi13A,Phmi13B,Phmi14A,Phmi14B,Phmi17A,Phmi17B,Phmi20A,Phmi20B,Phmi23A,Phmi23B,Phmi24A,Phmi24B
K18,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
K19,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
K40,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
K41,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
CP09,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
CP01,Cultivar,Cultivar.sawdust.JPN,CG4,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,166,220,220,284,284,307,310,313,313
K24,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
CP03,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
CP04,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
CP05,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
CP07,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
CP08,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
CP02,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
K43,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
K44,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
K46,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
K22,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
K45,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
K42,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
CP10,Cultivar,Cultivar.CHN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
K23,Cultivar,Cultivar.CHN,NA,88,94,101,101,109,112,104,104,128,128,139,141,146,146,142,142,157,160,154,166,NA,NA,NA,NA,NA,NA,NA,NA
K38,Cultivar,Cultivar.CHN,KG11,88,94,101,101,109,112,104,104,128,128,139,141,146,146,142,142,157,160,154,166,220,229,284,288,307,307,313,313
